id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
3511659914,3511659914,soft_focuses,,"an image here, or there // @thricedotted",https://t.co/qGCGtt4VjW,313,0,50,Thu Sep 10 04:30:14 +0000 2015,0,FALSE,2978,en,Thu Jan 21 18:55:41 +0000 2016|690246404447449100|690246404447449088|we think about the shirts as the dark mark -- eyes|false|||||soft focuses|null|null|null|null|null|null|null|null|null|false|1|0|false|false|en,FALSE,FALSE,FALSE,*,TRUE
16557127,16557127,KatyAnderson,#content #content #content,"Journalist turned @OpenMediaOrg digital rights advocate. Lover of big cities, dumb jokes, neat facts, cute cats. Highbrow, lowbrow, #zeitgeist. RTs = job offers",https://t.co/qg2sCLa1fK,3260,2357,160,Thu Oct 02 09:03:38 +0000 2008,904,TRUE,9733,en,Sat Mar 11 01:22:02 +0000 2017,FALSE,FALSE,FALSE,~ k@+¥ ~,FALSE
2434187744,2434187744,accidental575,,"I am a robot /
that finds haiku on Twitter /
made by accident",http://t.co/ezKdXVDFRv,3092,1,119,Tue Apr 08 20:16:58 +0000 2014,9,FALSE,1165,en,"Mon Mar 13 01:00:30 +0000 2017|841091564332019700|841091564332019713|Orphaned Lambs Follow /
This Dog Everywhere Because /
They Think He's Their Dad /
#accidentalhaiku by @Animalolizer 
https://t.co/C6JxbyTT30|false|accidentalhaiku|82|98||Animalolizer|Animal Trends|2921854485|2921854485|102|115|https://t.co/C6JxbyTT30|https://twitter.com/Animalolizer/status/839891457934782465|twitter.com/Animalolizer/s…|117|140|Buffer|null|null|null|null|null|null|null|null|null|true|839891457934782500|839891457934782465|0|2|false|false|false|en",TRUE,FALSE,FALSE,Accidental Haiku,TRUE
608485403,608485403,Alessandra_Ram,"San Francisco, CA","Editor @ajplus. All opinions my own. Past: @wired, @CIRonline, @TheAtlantic. 1/2 Indian. I'm probably petting your dog.",,1184,704,33,Thu Jun 14 20:49:05 +0000 2012,488,FALSE,618,en,Thu Mar 02 22:58:40 +0000 2017,FALSE,FALSE,FALSE,Alessandra Ram,FALSE
98078133,98078133,creative_rn,"Brooklyn, NY","BSN, RN ~ art + science 🔳 🔲 Informatics (Teletriage/Telehealth, EHR) & Holistic Nursing (Meditation, Yoga, Narrative Med, Creative Writing, Storytelling)",,4041,1837,293,Sun Dec 20 07:56:12 +0000 2009,5007,FALSE,20083,en,Tue Mar 07 17:11:41 +0000 2017,FALSE,FALSE,FALSE,Amy Dixon,FALSE
34408874,34408874,antonnewcombe,"berlin,de","i am an artist/horticulturalist/husband,father.i live in berlin & have a group called the brian jonestown massacre,like making things & stuff. ART/CRIME",https://t.co/Uw4qsi3cB3,38831,2212,477,Wed Apr 22 21:41:33 +0000 2009,132861,TRUE,105148,en,Mon Mar 13 21:31:13 +0000 2017,FALSE,FALSE,TRUE,anton newcombe,FALSE
18220393,18220393,assbot,,,,101,0,0,Thu Dec 18 18:00:11 +0000 2008,0,FALSE,3,en,Thu Dec 18 18:07:36 +0000 2008|1065396960|1065396960|@joeclark http://tinyurl.com/4kff54|false|||joeclark|Joe Clark|66023|66023|0|9||Twitter Web Client|1064943311|1064943311|66023|66023|joeclark|null|null|null|null|false|0|0|false|false|und,TRUE,TRUE,FALSE,assbot,TRUE
1458301369,1458301369,bennymcnugget,,i make youtube videos about how pretty you are,https://t.co/6GuhEBLWZW,28119,4021,130,Sat May 25 23:31:21 +0000 2013,68139,TRUE,16113,en,Mon Mar 13 21:09:50 +0000 2017,FALSE,FALSE,FALSE,b,FALSE
340978698,340978698,biyialo,,instagram: biyi.alo,,1818,325,15,Sat Jul 23 16:15:48 +0000 2011,633,TRUE,14372,en,Thu Feb 09 21:18:37 +0000 2017,FALSE,FALSE,TRUE,B,FALSE
90055464,90055464,Betelgeuse_3,The beyond,Let's turn on the juice and see what shakes loose. RIP ME (I'm retired from tweeting),http://t.co/PUgwOIPfNN,13052,0,115,Sun Nov 15 00:26:24 +0000 2009,0,FALSE,260879,en,Tue Aug 11 14:57:18 +0000 2015|631117188984762400|631117188984762368|@CineBistroPEN IT'S SHOWTIME!|false|||CineBistroPEN|CinéBistro Hampton|426664662|426664662|0|14||botly|631111589861683200|631111589861683200|426664662|426664662|CineBistroPEN|null|null|null|null|false|0|2|false|false|en,TRUE,FALSE,FALSE,Beetle Juice,TRUE
