screen_name,location,followers_count,friends_count,listed_count,favorites_count,verified,statuses_count,status,name
__keating,brooklyn,4466,1295,111,1579,TRUE,3036,"{'created_at': 'Tue Apr 11 15:31:51 +0000 2017', 'id': 851820096632881154, 'id_str': '851820096632881154', 'text': ""@Carrasquillo @sapna still can't believe we lived to tell the tale"", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Carrasquillo', 'name': 'Adrian Carrasquillo', 'id': 21688902, 'id_str': '21688902', 'indices': [0, 13]}, {'screen_name': 'sapna', 'name': 'Sapna Maheshwari', 'id': 29054836, 'id_str': '29054836', 'indices': [14, 20]}], 'urls': []}, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'in_reply_to_status_id': 851797673028046848, 'in_reply_to_status_id_str': '851797673028046848', 'in_reply_to_user_id': 21688902, 'in_reply_to_user_id_str': '21688902', 'in_reply_to_screen_name': 'Carrasquillo', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 1, 'favorited': False, 'retweeted': False, 'lang': 'en'}",shannon keating
_callme_Dani,"Los Angeles, CA",295,1016,10,300,FALSE,618,"{'created_at': 'Tue Apr 11 00:56:02 +0000 2017', 'id': 851599687547199488, 'id_str': '851599687547199488', 'text': ""RT @elliesunakawa: Ludacris's CGI chest looks like those rolls i buy at 7/11 when i‰Ûªm drunk https://t.co/RqXXfhit4q"", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'elliesunakawa', 'name': 'Ellie Sunakawa', 'id': 414485594, 'id_str': '414485594', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 851525794102956033, 'id_str': '851525794102956033', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/C9E6MrqW0AEnnJu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C9E6MrqW0AEnnJu.jpg', 'url': 'https://t.co/RqXXfhit4q', 'display_url': 'pic.twitter.com/RqXXfhit4q', 'expanded_url': 'https://twitter.com/elliesunakawa/status/851527875698331658/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 847, 'h': 476, 'resize': 'fit'}, 'medium': {'w': 847, 'h': 476, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}}, 'source_status_id': 851527875698331658, 'source_status_id_str': '851527875698331658', 'source_user_id': 414485594, 'source_user_id_str': '414485594'}]}, 'extended_entities': {'media': [{'id': 851525794102956033, 'id_str': '851525794102956033', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/C9E6MrqW0AEnnJu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C9E6MrqW0AEnnJu.jpg', 'url': 'https://t.co/RqXXfhit4q', 'display_url': 'pic.twitter.com/RqXXfhit4q', 'expanded_url': 'https://twitter.com/elliesunakawa/status/851527875698331658/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 847, 'h': 476, 'resize': 'fit'}, 'medium': {'w': 847, 'h': 476, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}}, 'source_status_id': 851527875698331658, 'source_status_id_str': '851527875698331658', 'source_user_id': 414485594, 'source_user_id_str': '414485594'}, {'id': 851527770224168961, 'id_str': '851527770224168961', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/C9E7_tSXkAElTnK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C9E7_tSXkAElTnK.jpg', 'url': 'https://t.co/RqXXfhit4q', 'display_url': 'pic.twitter.com/RqXXfhit4q', 'expanded_url': 'https://twitter.com/elliesunakawa/status/851527875698331658/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1131, 'h': 1044, 'resize': 'fit'}, 'small': {'w': 680, 'h': 628, 'resize': 'fit'}, 'medium': {'w': 1131, 'h': 1044, 'resize': 'fit'}}, 'source_status_id': 851527875698331658, 'source_status_id_str': '851527875698331658', 'source_user_id': 414485594, 'source_user_id_str': '414485594'}, {'id': 851527807381450752, 'id_str': '851527807381450752', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/C9E8B3tWsAAsgoN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C9E8B3tWsAAsgoN.jpg', 'url': 'https://t.co/RqXXfhit4q', 'display_url': 'pic.twitter.com/RqXXfhit4q', 'expanded_url': 'https://twitter.com/elliesunakawa/status/851527875698331658/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 450, 'h': 450, 'resize': 'fit'}, 'small': {'w': 450, 'h': 450, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 450, 'h': 450, 'resize': 'fit'}}, 'source_status_id': 851527875698331658, 'source_status_id_str': '851527875698331658', 'source_user_id': 414485594, 'source_user_id_str': '414485594'}]}, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Mon Apr 10 20:10:40 +0000 2017', 'id': 851527875698331658, 'id_str': '851527875698331658', 'text': ""Ludacris's CGI chest looks like those rolls i buy at 7/11 when i‰Ûªm drunk https://t.co/RqXXfhit4q"", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 851525794102956033, 'id_str': '851525794102956033', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/C9E6MrqW0AEnnJu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C9E6MrqW0AEnnJu.jpg', 'url': 'https://t.co/RqXXfhit4q', 'display_url': 'pic.twitter.com/RqXXfhit4q', 'expanded_url': 'https://twitter.com/elliesunakawa/status/851527875698331658/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 847, 'h': 476, 'resize': 'fit'}, 'medium': {'w': 847, 'h': 476, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 851525794102956033, 'id_str': '851525794102956033', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/C9E6MrqW0AEnnJu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C9E6MrqW0AEnnJu.jpg', 'url': 'https://t.co/RqXXfhit4q', 'display_url': 'pic.twitter.com/RqXXfhit4q', 'expanded_url': 'https://twitter.com/elliesunakawa/status/851527875698331658/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 847, 'h': 476, 'resize': 'fit'}, 'medium': {'w': 847, 'h': 476, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}}}, {'id': 851527770224168961, 'id_str': '851527770224168961', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/C9E7_tSXkAElTnK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C9E7_tSXkAElTnK.jpg', 'url': 'https://t.co/RqXXfhit4q', 'display_url': 'pic.twitter.com/RqXXfhit4q', 'expanded_url': 'https://twitter.com/elliesunakawa/status/851527875698331658/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1131, 'h': 1044, 'resize': 'fit'}, 'small': {'w': 680, 'h': 628, 'resize': 'fit'}, 'medium': {'w': 1131, 'h': 1044, 'resize': 'fit'}}}, {'id': 851527807381450752, 'id_str': '851527807381450752', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/C9E8B3tWsAAsgoN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C9E8B3tWsAAsgoN.jpg', 'url': 'https://t.co/RqXXfhit4q', 'display_url': 'pic.twitter.com/RqXXfhit4q', 'expanded_url': 'https://twitter.com/elliesunakawa/status/851527875698331658/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 450, 'h': 450, 'resize': 'fit'}, 'small': {'w': 450, 'h': 450, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 450, 'h': 450, 'resize': 'fit'}}}]}, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 9746, 'favorite_count': 25339, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 9746, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",Danielle Hopkins
_little_britt_,,1001678,3017,14,13040,TRUE,3329,"{'place': None, 'retweeted': False, 'favorited': False, 'in_reply_to_user_id_str': None, 'in_reply_to_status_id_str': None, 'geo': None, 'coordinates': None, 'in_reply_to_status_id': None, 'in_reply_to_user_id': None, 'truncated': False, 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '850790016838238210', 'text': 'I want a baby goat ðŸ˜©ðŸ', 'contributors': None, 'entities': {'symbols': [], 'urls': [], 'hashtags': [], 'user_mentions': []}, 'favorite_count': 11686, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'created_at': 'Sat Apr 08 19:18:41 +0000 2017', 'id': 850790016838238210, 'lang': 'en', 'retweet_count': 2037}",Brittney Smith
134k5,,445,487,17,1112,FALSE,46,"{'created_at': 'Sat Apr 08 08:41:08 +0000 2017', 'id': 850629570986262533, 'id_str': '850629570986262533', 'text': '@RexRex103 @BuzzFeedJapan ‹Ò‹Á‹âä‹Ò‹‹ÛÓ_‹Ñ¬_‹â‹â_‹_‹Ý‹âÒ‹Ûâ¾äÀÙ´‹Ñ‹_‹Ñ‹Ù‹Ûâ‹_ÀÓŠ¼Ü‹âÕ‹ã‹Ù‹Ê‹‹_‹Ñ‹_‹Û‹â‹â_‹Î‹¬‹ ‹Ó‹Ð‹ã‹_‹Ñ‹Ù‹Ûâ', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RexRex103', 'name': '‹ÄÂ‹ÄÄ‹âø‹â_', 'id': 2249898907, 'id_str': '2249898907', 'indices': [0, 10]}, {'screen_name': 'BuzzFeedJapan', 'name': 'BuzzFeed Japan', 'id': 2218283802, 'id_str': '2218283802', 'indices': [11, 25]}], 'urls': []}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': 850628293522894849, 'in_reply_to_status_id_str': '850628293522894849', 'in_reply_to_user_id': 2249898907, 'in_reply_to_user_id_str': '2249898907', 'in_reply_to_screen_name': 'RexRex103', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'ja'}",Keigo Isashi
2181chrom_bot,è‡ªåˆ†ã®å¤©å¹•,187,68,13,None,None,690359,"{u'lang': u'ja', u'text': u'@2181lucina_bot \u4ffa\u306e\u5922\u306f\u2026\u5927\u4e8b\u306a\u30c4\u30a4\u30fc\u30c8\u305f\u3061\u3092\u3075\u3041\u307c\u308c\u308b\u3088\u3046\u306a\u5f37\u3044\u3075\u3041\u307c\u9b54\u306b\u306a\u308b\u3053\u3068\u3060\u3002', u'created_at': u'Sun Apr 09 21:54:04 +0000 2017', u'hashtags': [], u'user_mentions': [{u'screen_name': u'2181lucina_bot', u'name': u'\u30c4\u30a4\u5ec3\u30eb\u30ad\u30cabot', u'id': 1511044986}], u'source': u'<a href=""http://twpf.jp/2181chrom_bot"" rel=""nofollow"">\u30a4\u30fc\u30ea\u30b9\u5927\u9678\u306e\u3069\u3053\u304b</a>', u'in_reply_to_status_id': 851191070100606976, u'in_reply_to_screen_name': u'2181lucina_bot', u'id_str': u'851191507486986241', u'urls': [], u'id': 851191507486986241, u'in_reply_to_user_id': 1511044986}",ãƒ„ã‚¤å»ƒã‚¯ãƒ­ãƒ bot
2LA1R_bot,None,80,87,None,None,None,20167,"{u'lang': u'ja', u'text': u'\u3010\u3075\u308c\u3042\u8a9e\u3011\u30d0\u30a4\u30c8\u4f11\u61a9\u306a\u3048\uff08\u30d0\u30a4\u30c8\u4f11\u61a9\u306a\u3046\uff09', u'created_at': u'Sun Apr 09 21:54:06 +0000 2017', u'hashtags': [], u'user_mentions': [], u'source': u'<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>', u'id_str': u'851191514206097409', u'urls': [], u'id': 851191514206097409}",ãµã‚Œã‚èªžbot ver0.2
3pei_bot,ä¸‰æ²³å±‹,2020,1978,56,None,None,968182,"{u'lang': u'ja', u'text': u'@kazenoraby \uff66\uff9a\u304c\u30e9\u30f4\u30a3\u3061\u3083\u3093\uff80\uff9d\u3092\u6e29\u3081\u3066\u3084\u3093\u3088\uff57\uff57\uff57', u'created_at': u'Sun Apr 09 21:54:05 +0000 2017', u'hashtags': [], u'user_mentions': [{u'screen_name': u'kazenoraby', u'name': u'\u30e9\u30f4\u30a3\u3061\u3083\u3093', u'id': 292250276}], u'source': u'<a href=""http://twpf.jp/3pei_bot"" rel=""nofollow"">\u4e09\u6cb3\u5c4b</a>', u'in_reply_to_status_id': 851191255841124352, u'in_reply_to_screen_name': u'kazenoraby', u'id_str': u'851191511765176320', u'urls': [], u'id': 851191511765176320, u'in_reply_to_user_id': 292250276}",ä¸‰æ²³å±‹ä¸‰å¹³
94kichi_bot,None,70,80,2,None,None,76735,"{u'lang': u'ja', u'text': u'\u307f\u3093\u306a\uff01\u3059\u304d\uff01\u3061\u3093\u3053\uff01\u307f\u305b\u3066\uff01\uff1f', u'created_at': u'Sun Apr 09 21:54:08 +0000 2017', u'hashtags': [], u'user_mentions': [], u'source': u'<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>', u'id_str': u'851191524062670848', u'urls': [], u'id': 851191524062670848}",94å¹´çµ„bot
A3_Dekasegi_bot,ãƒ“ãƒ­ãƒ¼ãƒ‰é§…å‰,181,144,2,None,None,1960,"{u'lang': u'ja', u'text': u'\u30b7\u30c8\u30ed\u30f3\uff1a\u30ef\u30bf\u30b7\u65e5\u672c\u8a9e\u306e\u52c9\u5f37\u3082\u3063\u3068\u9811\u5f35\u308b\u30e8\uff01\n\u81f3\uff1a\u307e\u3001\u4eca\u306e\u307e\u307e\u3067\u3082\u3044\u3044\u3051\u3069\u306d\u3002\u4ffa\u7684\u306b\u30c4\u30dc\u3060\u3057\n\u30b7\u30c8\u30ed\u30f3\uff1a\u30a4\u30bf\u30eb\u3068\u306e\u51fa\u4f1a\u3044\u306f\u4e00\u56de\u4e00\u5186\u30c0\u30e8\uff01 \u5927\u5207\u306b\u3059\u308b\u30cd\n\u81f3\uff1a\u5b89\u3059\u304e\u308f\u308d\u3002\u4e00\u671f\u4e00\u4f1a\u3067\u3042\u3063\u3066\u6b32\u3057\u3044\u306a', u'created_at': u'Sun Apr 09 21:54:02 +0000 2017', u'hashtags': [], u'user_mentions': [], u'source': u'<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>', u'id_str': u'851191498854998016', u'urls': [], u'id': 851191498854998016}",A3! å‡ºç¨¼ãŽæ—¥èªŒ
aamir_khan,Mumbai,20419393,9,6,None,TRUE,468,"{u'lang': u'en', u'text': u'Hey guys, doing something major on all the Marathi channels. Check it out. https://t.co/uYmd8FKOVH', u'created_at': u'Thu Apr 06 08:34:07 +0000 2017', u'hashtags': [], u'user_mentions': [], u'source': u'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', u'id_str': u'849903030598344704', u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/aamir_khan/status/849903030598344704/video/1', u'display_url': u'pic.twitter.com/uYmd8FKOVH', u'url': u'https://t.co/uYmd8FKOVH', u'media_url_https': u'https://pbs.twimg.com/ext_tw_video_thumb/849901784160194561/pu/img/KYghGxgLo3OHdlKu.jpg', u'video_info': {u'aspect_ratio': [16, 9], u'duration_millis': 34680, u'variants': [{u'url': u'https://video.twimg.com/ext_tw_video/849901784160194561/pu/vid/320x180/e9SzugSvFxYwIuvc.mp4', u'bitrate': 320000, u'content_type': u'video/mp4'}, {u'url': u'https://video.twimg.com/ext_tw_video/849901784160194561/pu/vid/640x360/thA2RFRrX98SUqJW.mp4', u'bitrate': 832000, u'content_type': u'video/mp4'}, {u'url': u'https://video.twimg.com/ext_tw_video/849901784160194561/pu/vid/1280x720/BZ7PQgWNja3_IqYN.mp4', u'bitrate': 2176000, u'content_type': u'video/mp4'}, {u'url': u'https://video.twimg.com/ext_tw_video/849901784160194561/pu/pl/LJvUf-thRyCi6UUk.m3u8', u'content_type': u'application/x-mpegURL'}]}, u'sizes': {u'small': {u'h': 191, u'resize': u'fit', u'w': 340}, u'large': {u'h': 576, u'resize': u'fit', u'w': 1024}, u'medium': {u'h': 338, u'resize': u'fit', u'w': 600}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'type': u'video', u'id': 849901784160194561, u'media_url': u'http://pbs.twimg.com/ext_tw_video_thumb/849901784160194561/pu/img/KYghGxgLo3OHdlKu.jpg'}], u'retweet_count': 1846, u'id': 849903030598344704, u'favorite_count': 12381}",Aamir Khan
