id,id_str,screen_name,location,description,url,followers_count,friends_count,listedcount,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
3982731976,642,815,0,91,28,1129,7,2,727,0,FALSE,23557,10,505,FALSE,FALSE,0,478,1
8.41E+17,834,114,0,0,28,0,22,0,239,0,FALSE,1,10,96,TRUE,TRUE,0,450,1
2768374981,355,639,0,0,28,3,0,3,583,0,FALSE,1050,10,397,TRUE,FALSE,0,866,1
3304189373,587,912,411,858,98,505,13,49,711,0,FALSE,5109,10,688,FALSE,FALSE,0,971,1
3224289024,549,675,0,783,28,15,0,11,706,0,FALSE,31365,11,819,TRUE,FALSE,0,1045,1
7.30E+17,743,708,66,578,309,16,1,4,353,0,FALSE,1832,10,249,FALSE,FALSE,0,281,1
8.20E+17,816,180,427,0,28,41,394,0,237,3,FALSE,4,10,117,TRUE,FALSE,1,260,1
2602217174,312,225,224,57,125,549,370,12,863,12,FALSE,4658,10,634,FALSE,FALSE,0,783,1
8.33E+17,828,753,0,376,28,0,60,0,756,0,FALSE,10,10,362,TRUE,FALSE,0,370,1
8.25E+17,820,340,0,748,28,0,43,4,521,48,FALSE,86,10,357,TRUE,FALSE,0,204,1
2215073972,147,890,0,168,28,102,3,21,968,0,FALSE,10873,10,782,TRUE,FALSE,0,219,1
2903085721,451,740,0,56,193,578,17,96,631,0,FALSE,5234,10,645,FALSE,FALSE,0,1036,1
8.27E+17,822,412,0,850,28,1,34,0,994,68,FALSE,98,10,368,TRUE,FALSE,0,409,1
2529023630,269,599,29,55,77,1456,12,122,1032,4,FALSE,72096,10,627,FALSE,FALSE,0,849,1
4629779173,663,855,0,272,28,0,1,0,916,0,FALSE,0,10,63,FALSE,FALSE,0,323,1
8.41E+17,834,803,204,0,28,14,253,0,218,2,FALSE,0,10,308,TRUE,FALSE,0,488,1
